"id","country_id","code","fc_name","name","sequence","timestamp"
"4659","58","CZ-ST","středočeský kraj","Středočeský kraj","11","2016-06-08 00:09:33"
"2341","180","RO-SV","suceava","Suceava","35","2016-06-08 00:09:23"
"5349","90","GT-SU","suchitepéquez","Suchitepéquez","20","2016-06-08 00:09:36"
"4002","240","VE-R","sucre","Sucre","20","2016-06-08 00:09:30"
"4561","48","CO-SUC","sucre","Sucre","29","2016-06-08 00:09:32"
"4911","64","EC-U","sucumbíos","Sucumbíos","22","2016-06-08 00:09:34"
"5423","95","HT-SD","sud","Sud","9","2016-06-08 00:09:37"
"1634","150","MA-SU","sud","Sud","85","2016-06-08 00:09:20"
"4788","59","CI-15","sud-bandama (région du)","Sud-Bandama (Région du)","29","2016-06-08 00:09:33"
"4789","59","CI-13","sud-comoé (région du)","Sud-Comoé (Région du)","30","2016-06-08 00:09:33"
"5424","95","HT-SE","sud-est","Sud-Est","10","2016-06-08 00:09:37"
"4598","51","CD-SK","sud-kivu","Sud-Kivu","11","2016-06-08 00:09:33"
"4305","35","BF-13","sud-ouest","Sud-Ouest","13","2016-06-08 00:09:31"
"1694","155","NP-5","sudur pashchimanchal","Sudur Pashchimanchal","5","2016-06-08 00:09:21"
"3677","234","GB-SFK","suffolk","Suffolk","30","2016-06-08 00:09:29"
"3214","218","TJ-SU","sughd","Sughd","4","2016-06-08 00:09:27"
"3316","220","TH-64","sukhothai","Sukhothai","66","2016-06-08 00:09:27"
"5395","93","GW-S","sul","Sul","3","2016-06-08 00:09:37"
